,제목,정보제공,날짜
0,"야스, 강경인 대표이사 신규 선임",이데일리,2021.03.29 17:08
1,"야스, 7600만원 규모 자기주식 처분 결정",이데일리,2021.03.24 19:54
2,"야스, 작년 영업익 26억원…전년比 79%↓",이데일리,2021.02.26 16:28
3,"야스, OLED 증착장비 강소기업…LG가 주요 고객사",한국경제,2021.01.19 15:27
4,"야스, LG디스플레이와 85억원 규모 공급계약 체결",이데일리,2020.09.21 15:14
5,"연관기사 목록  야스, 85억 규모 디스플레이 제조장비 공급계약  헤럴드경제  2020.09.21 14:59","연관기사 목록  야스, 85억 규모 디스플레이 제조장비 공급계약  헤럴드경제  2020.09.21 14:59","연관기사 목록  야스, 85억 규모 디스플레이 제조장비 공급계약  헤럴드경제  2020.09.21 14:59"
6,"야스, 85억 규모 디스플레이 제조장비 공급계약",헤럴드경제,2020.09.21 14:59
7,"야스, 85억원 규모 디스플레이 제조 장비 공급계약 체결",아시아경제,2020.09.21 14:47
8,[코스닥 기업공시] (9일) 야스 등,한국경제,2020.09.10 03:55
9,"야스, LGD와 98억 규모 공급계약 체결",아시아경제,2020.09.09 15:22
10,"야스, 98억 규모 디스플레이 제조 장비 공급 계약",이데일리,2020.09.09 15:20
11,"야스, 98억 규모 디스플레이 제조장비 공급계약",헤럴드경제,2020.09.09 15:20
