,제목,정보제공,날짜
0,"빛샘전자, 강만준·강명구 각자대표 체제",이데일리,2021.04.29 17:42
1,"빛샘전자, 주당 290원 결산배당",이데일리,2021.02.10 09:47
2,"연관기사 목록  빛샘전자, 주당 290원 현금배당 결정  헤럴드경제  2021.02.10 08:21","연관기사 목록  빛샘전자, 주당 290원 현금배당 결정  헤럴드경제  2021.02.10 08:21","연관기사 목록  빛샘전자, 주당 290원 현금배당 결정  헤럴드경제  2021.02.10 08:21"
3,"빛샘전자, 주당 290원 현금배당 결정",헤럴드경제,2021.02.10 08:21
4,"빛샘전자, 지난해 연결 영업익 11억…전년비 41%↓",이데일리,2021.02.10 09:44
5,"연관기사 목록  빛샘전자, 지난해 영업익 11억…전년비 41.1%↓  헤럴드경제  2021.02.10 08:21","연관기사 목록  빛샘전자, 지난해 영업익 11억…전년비 41.1%↓  헤럴드경제  2021.02.10 08:21","연관기사 목록  빛샘전자, 지난해 영업익 11억…전년비 41.1%↓  헤럴드경제  2021.02.10 08:21"
6,"빛샘전자, 지난해 영업익 11억…전년비 41.1%↓",헤럴드경제,2021.02.10 08:21
7,"빛샘전자, 지난해 영업익 11억원…전년比 41%↓",아시아경제,2021.02.10 08:21
8,"빛샘전자 ""동양텔레콤, 62.5억 규모 토지·건물 처분""",이데일리,2021.01.15 18:59
9,"빛샘전자, 동양텔레콤 흡수합병 결정",이데일리,2020.10.05 18:11
10,"빛샘전자, 비엔에프코퍼레이션 주식 322만주 양수",서울경제,2020.08.19 10:24
11,"연관기사 목록  [공시] 빛샘전자, 71억원 규모 비엔에프코퍼레이션 주식 양수 결정  파이낸셜뉴스  2020.08.19 10:15","연관기사 목록  [공시] 빛샘전자, 71억원 규모 비엔에프코퍼레이션 주식 양수 결정  파이낸셜뉴스  2020.08.19 10:15","연관기사 목록  [공시] 빛샘전자, 71억원 규모 비엔에프코퍼레이션 주식 양수 결정  파이낸셜뉴스  2020.08.19 10:15"
12,"[공시] 빛샘전자, 71억원 규모 비엔에프코퍼레이션 주식 양수 결정",파이낸셜뉴스,2020.08.19 10:15
13,"빛샘전자, 비엔에프코퍼레이션 지분 99.69% 양수 결정",헤럴드경제,2020.08.19 08:31
14,"빛샘전자, 71억원 규모 비엔에프코퍼레이션 주식 양수 결정",아시아경제,2020.08.19 08:16
15,"빛샘전자, ㈜비엔에프코퍼레이션 주식 99.69% 양수 결정",이데일리,2020.08.19 07:53
