,제목,정보제공,날짜
0,"이엠넷, 소프트뱅크와의 협업·이커머스 확장 등 '주목' -한양",이데일리,2021.08.05 07:35
1,"[특징주]이엠넷, 52주 신고가…일본 법인 소프트뱅크와 자본제휴",이데일리,2021.05.24 09:16
2,"이엠넷 일본 법인, 소프트뱅크와 자본제휴",파이낸셜뉴스,2021.05.21 17:47
3,"이엠넷, 1Q 영업익 32.5억원…전년比 122%↑로 '역대 최대'",이데일리,2021.05.11 17:02
4,"연관기사 목록  이엠넷, 1Q 영업이익 36억…분기 최대 실적 달성  파이낸셜뉴스  2021.05.11 16:17","연관기사 목록  이엠넷, 1Q 영업이익 36억…분기 최대 실적 달성  파이낸셜뉴스  2021.05.11 16:17","연관기사 목록  이엠넷, 1Q 영업이익 36억…분기 최대 실적 달성  파이낸셜뉴스  2021.05.11 16:17"
5,"이엠넷, 1Q 영업이익 36억…분기 최대 실적 달성",파이낸셜뉴스,2021.05.11 16:17
6,"이엠넷, 자회사 더브록스와 이커머스 사업 진출…""사업 다각화""",이데일리,2021.04.21 17:09
7,"이엠넷, 자회사 더브록스와 함께 이커머스 진출",아시아경제,2021.04.21 16:05
8,"이엠넷, 자회사 더브록스 통해 이커머스 사업 진출",파이낸셜뉴스,2021.04.21 09:39
9,"이엠넷, 에프앤에프파트너스 전략적 제휴 협약 체결",파이낸셜뉴스,2021.04.13 16:10
10,"이엠넷, 작년 영업수익 390억원 달성…전년比 6.3%↑",매일경제,2021.03.16 16:37
11,"이엠넷, 주당 50원 현금 결산배당 결정",이데일리,2021.02.26 15:05
