,제목,정보제공,날짜
0,"“종근당, 2분기 실적 방어 성공…R&D 비용 관리 필요”",한국경제,2021.08.02 10:31
1,"키움증권 “종근당 하반기 R&D 비용 부담, 목표가 15만원으로 하향”",조선비즈,2021.08.02 08:43
2,"연관기사 목록  종근당, 늘어나는 하반기 R&D 투자…목표가 6%↓-키움  이데일리  2021.08.02 07:50","연관기사 목록  종근당, 늘어나는 하반기 R&D 투자…목표가 6%↓-키움  이데일리  2021.08.02 07:50","연관기사 목록  종근당, 늘어나는 하반기 R&D 투자…목표가 6%↓-키움  이데일리  2021.08.02 07:50"
3,"종근당, 늘어나는 하반기 R&D 투자…목표가 6%↓-키움",이데일리,2021.08.02 07:50
4,"종근당, 차세대 파이프라인 다각화로 상승 기대-유안타",이데일리,2021.08.02 07:51
5,종근당 “매출액 대비 4.7% 규모 의약품 제조업무정지”,이데일리,2021.07.30 16:33
6,"종근당, 2분기 영업이익 337억…전년대비 7%↓",아시아경제,2021.07.30 15:22
7,"연관기사 목록  종근당, 2Q 영업익 337억…전년比 7%↓[주목 e공시]  한국경제  2021.07.30 14:59  [공시]종근당, 2·4분기 영업익 337억..전년비 7%↓  파이낸셜뉴스  2021.07.30 14:52  관련뉴스 1건 더보기","연관기사 목록  종근당, 2Q 영업익 337억…전년比 7%↓[주목 e공시]  한국경제  2021.07.30 14:59  [공시]종근당, 2·4분기 영업익 337억..전년비 7%↓  파이낸셜뉴스  2021.07.30 14:52  관련뉴스 1건 더보기","연관기사 목록  종근당, 2Q 영업익 337억…전년比 7%↓[주목 e공시]  한국경제  2021.07.30 14:59  [공시]종근당, 2·4분기 영업익 337억..전년비 7%↓  파이낸셜뉴스  2021.07.30 14:52  관련뉴스 1건 더보기"
8,"종근당, 2Q 영업익 337억…전년比 7%↓[주목 e공시]",한국경제,2021.07.30 14:59
9,"[공시]종근당, 2·4분기 영업익 337억..전년비 7%↓",파이낸셜뉴스,2021.07.30 14:52
10,"종근당 2분기 영업이익 336억6,700만원···전년 대비 7.2% 감...",서울경제,2021.07.30 15:01
11,"종근당, 2분기 영업이익 337억원…전년 대비 7% 하락",이데일리,2021.07.30 14:44
12,"종근당, 황반변성치료제 바이오시밀러 'CKD-701' 품목 허가 신청",파이낸셜뉴스,2021.07.28 15:48
13,연관기사 목록  종근당 황반변성 치료제 바이오시밀러 'CKD-701' 품목 허가 신청  서울경제  2021.07.28 15:47,연관기사 목록  종근당 황반변성 치료제 바이오시밀러 'CKD-701' 품목 허가 신청  서울경제  2021.07.28 15:47,연관기사 목록  종근당 황반변성 치료제 바이오시밀러 'CKD-701' 품목 허가 신청  서울경제  2021.07.28 15:47
14,종근당 황반변성 치료제 바이오시밀러 'CKD-701' 품목 허가 신청,서울경제,2021.07.28 15:47
15,"종근당, 황반변성 치료제 국내 품목허가 신청",한국경제,2021.07.28 14:58
16,"연관기사 목록  종근당, 황반변성 치료제 '루센티스' 바이오시밀러 국내 허가 신청  아시아경제  2021.07.28 14:51  종근당, 황반변성치료제 바이오시밀러 품목 허가 신청  헤럴드경제  2021.07.28 14:22  종근당, 황반변성치료제 복제약 품목허가 신청  머니투데이  2021.07.28 14:19  종근당, 루센티스 바이오시밀러 품목허가 신청  이데일리  2021.07.28 14:12  관련뉴스 3건 더보기","연관기사 목록  종근당, 황반변성 치료제 '루센티스' 바이오시밀러 국내 허가 신청  아시아경제  2021.07.28 14:51  종근당, 황반변성치료제 바이오시밀러 품목 허가 신청  헤럴드경제  2021.07.28 14:22  종근당, 황반변성치료제 복제약 품목허가 신청  머니투데이  2021.07.28 14:19  종근당, 루센티스 바이오시밀러 품목허가 신청  이데일리  2021.07.28 14:12  관련뉴스 3건 더보기","연관기사 목록  종근당, 황반변성 치료제 '루센티스' 바이오시밀러 국내 허가 신청  아시아경제  2021.07.28 14:51  종근당, 황반변성치료제 바이오시밀러 품목 허가 신청  헤럴드경제  2021.07.28 14:22  종근당, 황반변성치료제 복제약 품목허가 신청  머니투데이  2021.07.28 14:19  종근당, 루센티스 바이오시밀러 품목허가 신청  이데일리  2021.07.28 14:12  관련뉴스 3건 더보기"
17,"종근당, 황반변성 치료제 '루센티스' 바이오시밀러 국내 허가 신청",아시아경제,2021.07.28 14:51
18,"종근당, 황반변성치료제 바이오시밀러 품목 허가 신청",헤럴드경제,2021.07.28 14:22
19,"종근당, 황반변성치료제 복제약 품목허가 신청",머니투데이,2021.07.28 14:19
20,"종근당, 루센티스 바이오시밀러 품목허가 신청",이데일리,2021.07.28 14:12
21,종근당 최대 1000억 첫 공모 회사채 추진,헤럴드경제,2021.07.27 11:22
22,"연관기사 목록  종근당, 최대 1000억 첫 공모 회사채 발행 추진  헤럴드경제  2021.07.27 09:54","연관기사 목록  종근당, 최대 1000억 첫 공모 회사채 발행 추진  헤럴드경제  2021.07.27 09:54","연관기사 목록  종근당, 최대 1000억 첫 공모 회사채 발행 추진  헤럴드경제  2021.07.27 09:54"
23,"종근당, 최대 1000억 첫 공모 회사채 발행 추진",헤럴드경제,2021.07.27 09:54
