,제목,정보제공,날짜
0,"[특징주]대정화금, SK바이오 3상 승인 속 국내 유일 SK그룹과 원료...",파이낸셜뉴스,2021.08.10 10:54
1,"대정화금, 주당 300원 현금 결산배당 결정",이데일리,2021.02.23 13:34
2,"연관기사 목록  대정화금, 주당 300원 현금배당 결정  헤럴드경제  2021.02.23 11:06","연관기사 목록  대정화금, 주당 300원 현금배당 결정  헤럴드경제  2021.02.23 11:06","연관기사 목록  대정화금, 주당 300원 현금배당 결정  헤럴드경제  2021.02.23 11:06"
3,"대정화금, 주당 300원 현금배당 결정",헤럴드경제,2021.02.23 11:06
4,"대정화금, 작년 영업익 101억원…전년比 2.3%↓",이데일리,2021.02.23 13:31
5,"연관기사 목록  대정화금, 지난해 영업익 101억…전년비 2.3%↓  헤럴드경제  2021.02.23 11:06","연관기사 목록  대정화금, 지난해 영업익 101억…전년비 2.3%↓  헤럴드경제  2021.02.23 11:06","연관기사 목록  대정화금, 지난해 영업익 101억…전년비 2.3%↓  헤럴드경제  2021.02.23 11:06"
6,"대정화금, 지난해 영업익 101억…전년비 2.3%↓",헤럴드경제,2021.02.23 11:06
7,"대정화금, SK케미칼대정 지분 50% 취득",헤럴드경제,2021.02.23 11:24
8,"[특징주] 대정화금, 종근당 코로나 19 치료제 원료 공급에 강세",파이낸셜뉴스,2020.12.18 15:07
9,"[특징주] 대정화금, 셀트리온 원료의약품 공급 소식에 강세",파이낸셜뉴스,2020.11.24 09:53
10,딸람이 알려주는 오늘의 특징주 이슈...엑세스바이오·대정화금·바이넥스·...,매일경제,2020.08.27 18:51
11,[코스닥 공시] 대정화금,매일경제,2020.08.26 17:24
12,"연관기사 목록  대정화금 22% 상승, SK케미칼 합작투자 추진  머니투데이  2020.08.26 13:27","연관기사 목록  대정화금 22% 상승, SK케미칼 합작투자 추진  머니투데이  2020.08.26 13:27","연관기사 목록  대정화금 22% 상승, SK케미칼 합작투자 추진  머니투데이  2020.08.26 13:27"
13,"대정화금 22% 상승, SK케미칼 합작투자 추진",머니투데이,2020.08.26 13:27
14,"[시그널] SK케미칼,덱사메타손 원료 제조사 대정화금과 JV설립",서울경제,2020.08.26 11:44
15,"대정화금, SK케미칼과 합작투자사 설립 계약 체결",이데일리,2020.08.26 11:37
