,제목,정보제공,날짜
0,[스타애널]김도윤 리서치알음 연구원 '대창단조'로 주간수익률 1위,이데일리,2021.05.10 05:31
1,"[클릭 e종목]대창단조, 中 굴삭기 사상최대+美 2조달러 일자리 투자 ...",아시아경제,2021.05.03 09:22
2,"대창단조, 주당 180원 현금배당 결정",아시아경제,2021.02.22 14:31
3,"대창단조, 주당 180원 현금배당 결정",헤럴드경제,2021.02.22 13:34
4,"대창단조, 박권일 대표 6293주 장내매수",이데일리,2021.01.15 14:59
5,"대창단조, 특별관계자 지분율 43.3%→44.38%",이데일리,2021.01.14 15:56
6,[유가증권 기업공시] (5일) 대창단조 등,한국경제,2021.01.06 01:32
7,[유가증권시장 공시] 대창단조,매일경제,2020.09.11 17:30
8,"대창단조, 5000원→1000원 주식분할 결정",헤럴드경제,2020.09.11 14:13
9,"대창단조, 5대1 주식분할 결정…5000원→1000원",이데일리,2020.09.11 14:06
