,제목,정보제공,날짜
0,[하나금투 주간추천주]견조한 실적 지속…포스코인터·코스맥스·이노와이어리...,이데일리,2021.06.26 08:01
1,네트워크장비주 '비중확대' 필요...이노와이어리스·다산네트웍스·RFHI...,파이낸셜뉴스,2021.06.04 08:38
2,"이노와이어리스, 글로벌 5G 투자 확대 따른 동반성장 기대 -NH",이데일리,2021.03.19 08:11
3,[코스닥 공시] 이노와이어리스 / 제룡산업 / 디알젬 등,매일경제,2021.02.01 17:01
4,"[Hot-Line] ""이노와이어리스, 일본·인도 중심 4G 스몰셀 매출...",매일경제,2020.11.12 09:06
5,"LIG넥스원, 무선통신장비기업 `이노와이어리스` 인수",매일경제,2020.11.06 10:54
6,민수 강화하는 LIG넥스원…통신장비社 ‘이노와이어리스’ 인수,이데일리,2020.11.06 08:06
7,"LIG넥스원, 무선통신장비 전문기업 '이노와이어리스' 인수 결정",조선비즈,2020.11.06 08:04
8,"LIG넥스원, 이노와이어리스 주식 331억원에 추가취득",아시아경제,2020.11.05 18:54
9,"이노와이어리스, 5G 스몰셀 매출 급증 전망...목표가 8.1만",서울경제,2020.09.22 11:24
