,제목,정보제공,날짜
0,"[특징주]이연제약, mRNA백신 7억도즈 생산능력…희소성에 귀한 몸",아시아경제,2021.08.06 09:41
1,[특징주]mRNA 관련주 일제히 급등…서린바이오·이연제약 등,아시아경제,2021.08.06 09:37
2,"이연제약, 대규모 바이오 의약품 생산 능력 확보 소식에 '강세'",한국경제,2021.07.06 10:50
3,"연관기사 목록  [특징주]이연제약, 국내 유일 pDNA부터 mRNA까지…전세계 생산허...  아시아경제  2021.07.06 10:05","연관기사 목록  [특징주]이연제약, 국내 유일 pDNA부터 mRNA까지…전세계 생산허...  아시아경제  2021.07.06 10:05","연관기사 목록  [특징주]이연제약, 국내 유일 pDNA부터 mRNA까지…전세계 생산허...  아시아경제  2021.07.06 10:05"
4,"[특징주]이연제약, 국내 유일 pDNA부터 mRNA까지…전세계 생산허...",아시아경제,2021.07.06 10:05
5,"이연제약, 충주 바이오 공장 준공…GMP 인증 준비 돌입",한국경제,2021.06.29 15:53
6,"연관기사 목록  이연제약, 충주 바이오 공장 준공…mRNA 생산 추진  머니투데이  2021.06.29 15:14","연관기사 목록  이연제약, 충주 바이오 공장 준공…mRNA 생산 추진  머니투데이  2021.06.29 15:14","연관기사 목록  이연제약, 충주 바이오 공장 준공…mRNA 생산 추진  머니투데이  2021.06.29 15:14"
7,"이연제약, 충주 바이오 공장 준공…mRNA 생산 추진",머니투데이,2021.06.29 15:14
8,[유가증권 메모] (1일) 보통주추가상장=이연제약(전환),한국경제,2021.06.01 00:43
9,"[특징주] 이연제약, 정부 모더나 mRNA 백신 생산업체 컨소시엄구축소...",헤럴드경제,2021.05.25 13:53
10,"[특징주] 인트론바이오, 이연제약과 mRNA 코로나19 백신 플랫폼 공...",아시아경제,2021.05.18 10:19
11,"[특징주]이연제약, 유용환 대표 ""mRNA·AAV 치료제 기술이전 가능...",아시아경제,2021.05.18 09:35
12,"이연제약, 800억 규모 유상증자·전환사채 발행 결정",아시아경제,2021.05.14 18:29
13,"이연제약, 충주 케미칼의약품 공장 투자 1600억→2100억원 확대",이데일리,2021.05.14 17:46
