,제목,정보제공,날짜
0,"멀티캠퍼스, 2Q 영업익 74억9900만원…전년比 467.6%↑",이데일리,2021.07.27 14:36
1,"연관기사 목록  멀티캠퍼스, 2분기 영업익 75억…전년비 467.6% ↑  헤럴드경제  2021.07.27 11:32","연관기사 목록  멀티캠퍼스, 2분기 영업익 75억…전년비 467.6% ↑  헤럴드경제  2021.07.27 11:32","연관기사 목록  멀티캠퍼스, 2분기 영업익 75억…전년비 467.6% ↑  헤럴드경제  2021.07.27 11:32"
2,"멀티캠퍼스, 2분기 영업익 75억…전년비 467.6% ↑",헤럴드경제,2021.07.27 11:32
3,"리서치알음 “멀티캠퍼스, 이재명 등 대권주자 IT인재양성 공약 수혜 기...",파이낸셜뉴스,2021.05.31 14:23
4,"멀티캠퍼스, 고용노동부 주관 'K디지털 트레이닝' 사업자 선정",매일경제,2021.05.03 16:56
5,"멀티캠퍼스, 올해 1Q 영업이익 25.6억원…전년比 91.9%↑",이데일리,2021.04.22 16:47
6,"멀티캠퍼스, 1분기 영업익 26억…전년비 91.1% ↑",헤럴드경제,2021.04.22 14:49
7,"멀티캠퍼스, 1분기 영업이익 25억원…전년동기대비 91%↑",아시아경제,2021.04.22 14:30
8,"멀티캠퍼스, 박성태 대표이사 신규 선임",이데일리,2021.03.17 18:57
9,"멀티캠퍼스, 삼성전자와 548억 '청년 S/W 아카데미' 운영계약",이데일리,2021.03.02 15:16
10,"멀티캠퍼스, 549억 규모 삼성 아카데미 위탁 운영 계약",아시아경제,2021.03.02 14:36
11,"김세종 멀티캠퍼스 前이사, 우정공무원교육원 교육운영과장 임용",이데일리,2021.02.01 12:01
